Worum handelt es sich im Bild?;Um ein Attribut.;Um einer Beziehung.;Um einer Entität.;Um einen Schlüssel.;Keine der genannten Antworten.;1;attr.PNG
Worum handelt es sich im Bild?;Um einer Beziehung.;Um ein Attribut.;Um einen Schlüssel.;Um einer Entität.;Keine der genannten Antworten.;23;attr-schl.PNG
Worum handelt es sich im Bild?;Um einen starken Schlüssel.;Um einen Fremdschlüssel.;Um einer starken Beziehung.;Um einer identifizierenden Beziehung.;Keine der genannten Antworten.;2;attr-schwach.PNG
Worum handelt es sich im Bild?;Um ein Attribut.;Um einer Beziehung.;Um einer Entität.;Um einen Schlüssel.;Keine der genannten Antworten.;2;beziehung.PNG
Worum handelt es sich im Bild?;Um einen starken Schlüssel.;Um einen Fremdschlüssel.;Um einer starken Beziehung.;Um einer identifizierenden Beziehung.;Keine der genannten Antworten.;4;bez-schw.PNG
Worum handelt es sich im Bild?;Um einer Beziehung.;Um einen Schlüssel.;Um einer Entität.;Um ein Attribut.;Keine der genannten Antworten.;3;entitaet.PNG
Worum handelt es sich im Bild?;Um einen starken Schlüssel.;Um einen Fremdschlüssel.;Um einer starken Beziehung.;Um einer identifizierenden Beziehung.;Keine der genannten Antworten.;5;ent-schw.PNG
Welche Aussagen treffen auf das Bild zu?;Marke ist ein Schlüssel.;Ein Review kann nicht ohne einem Hersteller existieren.;Ein Review ist maximal einem Hersteller zugeordnet.;Ein Review ist genau einem Hersteller zugeordnet.;Keine der genannten Antworten.;124;schw-bez.PNG
Welche Aussagen treffen noch auf das Bild zu?;Ein Hersteller kann ohne einem Review nicht existieren.;Eine Marke beschreibt den Hersteller eindeutig.;Ein Hersteller muss mindestens ein Review haben.;Ein Review hat eine Beschreibung und eine mit der Marke eindeutigen ID.;Keine der genannten Antworten.;24;schw-bez.PNG
Welche Aussagen treffen auf das angegebene Bild zu?;Name und Website kennzeichnen gemeinsam den Händler eindeutig.;Die Website beschreibt eindeutig den Händler.;Der Name beschreibt eindeutig den Händler.;Der Händler beschreibt eindeutig den Namen.;Keine der genannten Antworten.;3;1a-bsp.PNG
Welche Modellierung stimmt für den angegebenen Sachverhalt?;1;2;3;4;Keine der genannten Antworten.;13;1a.PNG
Welche Aussagen treffen auf das angegebene Bild zu?;Eine Kaffeemaschine kann zehn Kapseltypen unterstützen.;Eine Kaffeemaschine kann unendlich viele Kapseltypen unterstützen.;Ein Kapseltyp kann auch von keiner Kaffeemaschine unterstützt werden.;Eine Kaffeemaschine kann auch keine Kapseltypen unterstützen.;Keine der genannten Antworten.;13;1b-bsp.PNG
Welche Aussagen treffen auf das angegebene Bild zu?;1;2;;;Keine der genannten Antworten.;2;1b.PNG
Welche Aussagen treffen auf das angegebene Bild zu?;Es gibt keine zwei gleichen Kaffee Namen.;Ein Kaffee wird über seinen Typ eindeutig bestimmt.;Ein Kaffee hat einen Druck, einen Körper, und ein Aroma.;Kein Kaffee Typ, hat eine Säure.;Keine der genannten Antworten.;13;1c-bsp.PNG
Welche Aussagen treffen auf das angegebene Bild zu?;Ein Risretto ist ein Kaffee.;Jeder Kaffee hat einen Druck. ;Ein Risretto hat einen Körper.;Ein Lungo wird eindeutig über seinen Namen gekennzeichnet.;Keine der genannten Antworten.;134;1c-bsp2.PNG
Welche Aussagen treffen auf das angegebene Bild zu?;Ein Kaffee hat genau eine zusätzliche Eigenschaft.;Ein Kaffee hat maximal eine zusätzliche Eigenschaft.;Ein Körper ist ein Kaffee.;Jede zusätzliche Eigenschaft wird genau einem Kaffee zugeordnet.;Keine der genannten Antworten.;24;1c-bsp3.PNG
Welche Modellierung stimmt für den angegebenen Sachverhalt?;1;2;3;4;Keine der genannten Antworten.;2;1c.PNG
Welche Aussagen treffen auf das angegebene Bild zu?;Ein Hersteller wird über eine ID und eine Marke eindeutig identifiziert.;Ein Review wird über eine Marke und eine Beschreibung identifiziert.;Ein Hersteller kann mehrere Reviews haben.;Die Beschreibung des Reviews muss eindeutig sein.;Keine der genannten Antworten.;4;1d-bsp.PNG
Welche Aussagen treffen auf das angegebene Bild zu?;Ein Hersteller hat eine ID.;Ein Hersteller wird über eine ID und eine Marke gemeinsam eindeutig identifiziert.;Die ID ist eindeutig für den Hersteller.;Die Marke ist eindeutig für den Hersteller.;Keine der genannten Antworten.;12;1d-bsp2.PNG
Welche Modellierung stimmt für den angegebenen Sachverhalt?;1;2;3;4;Keine der genannten Antworten.;2;1d.PNG
