Für die baryzentrischen Koordinaten α, β, γ, wenn α = 0,2 ist, welche Kombinationen von β und γ sind gültig?;β = 0,1 und γ = 0,9;β = 0,3 und γ = 0,5;β = 0,5 und γ = 0,5;β = 0,4 und γ = 0,4;Keine der genannten Antworten.;24;
Für die baryzentrischen Koordinaten α, β, γ, wenn α = 0,5 ist, welche Kombinationen von β und γ sind gültig?;β = 0,5 und γ = 0,1;β = 0,3 und γ = 0,3;β = 0,5 und γ = 0,1;β = 0,3 und γ = 0,3;Keine der genannten Antworten.;5;
Für die baryzentrischen Koordinaten α, β, γ, wenn α = 0,8 ist, welche Kombinationen von β und γ sind gültig?;β = 0,1 und γ = 0,1;β = 0,1 und γ = 0,0;β = 0,1 und γ = 0,2;β = 0,1 und γ = 0,0;Keine der genannten Antworten.;1;
Welcher Effekt entsteht, wenn man von einem Bild das Laplacegefilterte Bild abzieht?;Bild wird schärfer; Bild wird unscharf; Bild wird heller; Bild wird invertiert;Keine der genannten Antworten.;1;
Welche Arten von Fotorezeptorzellen gibt es beim menschlichen Auge?;Stäbchen;Zäpfchen; Schuppen; Poren;Keine der genannten Antworten.;12;
Welche grundlegenden Arten von Pixelsensoren gibt es?; CCD; CMOS; FOV; DOF;Keine der genannten Antworten.;12;
Um welche Art von Matrix handelt es sich hierbei?; Translationsmatrix; Rotationsmatrix; Skalierungsmatrix;Projektionsmatrix;Keine der genannten Antworten.;1;8.png
Um welche Art von Matrix handelt es sich hierbei?; Translationsmatrix; Rotationsmatrix; Skalierungsmatrix;Projektionsmatrix;Keine der genannten Antworten.;2;9.png
Welcher ist der richtige Begriff für Position 5 in der Viewing-Pipeline?; Viewport-Transformation; Schattierung; Pixelkoordinaten; RGB-Farbraum;Keine der genannten Antworten.;1;12.png
Welcher ist der richtige Begriff für Position 6 in der Viewing-Pipeline?; Ray-Tracing; Octree-Berechnung; Pixelkoordinaten; Modellkoordinaten;Keine der genannten Antworten.;3;12.png
Gegeben ist folgendes 7 mal 7 Grauwertbild, wobei die weißen Pixel den Grauwert 255 und die schwarzen den Grauwert 0 aufweisen. Wieviel Speicherplatz wird für die Speicherung aller Pixelwerte in unkomprimierter Form benötigt?; 49 Byte; 98 Byte; 7 Byte; 56 Byte;Keine der genannten Antworten.;1;18.png
Gegeben ist folgendes 7 mal 7 Grauwertbild, wobei die weißen Pixel den Grauwert 255 und die schwarzen den Grauwert 0 aufweisen. Wieviel Speicherplatz wird bei einer Lauflängenkodierung aller Pixelwerte benötigt, wenn für jedes Element der Lauflängenkodierung 8 Bit verwendet werden?; 8 Byte; 98 Byte; 392 Byte; 56 Byte;Keine der genannten Antworten.;2;18.png
Die Farbkoordinaten des HLS-Farbmodells setzen sich zusammen aus Werten für:; Farbton;Sättigung; Helligkeit; Kontrast;Keine der genannten Antworten.;123;
Die Frequenzen welcher Farben sind höher als jene von Rot?; Violett; Blau;Grün;Gelb;Keine der genannten Antworten.;1234;
Die Frequenzen welcher Farben sind höher als jene von Violett?;Blau;Gelb;Grün;Rot;Keine der genannten Antworten.;5;
Bei geometrischen Transformationen müssen Octrees oft komplett neu generiert werden.;Richtig;FALSCH;;;Keine der genannten Antworten.;1;
Die Genauigkeit der Objektdarstellung in Quad- und Octrees ist generell abhängig von der Baumtiefe.;Richtig;FALSCH;;;Keine der genannten Antworten.;1;
Gegeben ist ein 5x5 Grauwertbild. Welches ist das Ergebnis für die 3 fett umrandeten Pixel bei Anwendung eines 3x3 Medianfilters auf das Bild?;| 50 | 100 | 90 |;| 90 | 90 | 90 |;| 100 | 50 | 90 |;| 100 | 90 | 90 |;Keine der genannten Antworten.;4;59.png
Durch die hierarchische Objektdarstellung von Octrees lassen sich einzelne Teile im Octree sehr einfach transformieren.;Richtig;FALSCH;;;Keine der genannten Antworten.;2;
Die Matrizenmultiplikation ist kommutativ, d.h. die Reihenfolge der Matrizen kann vertauscht werden, ohne dass sich das Ergebnis verändert.;Richtig;FALSCH;;;Keine der genannten Antworten.;2;
Wie heißt das Theorem, das besagt, dass man ein Signal f(t) exakt wiedergewinnen kann, wenn man f(t) mit einer Rate abtastet, die größer als das Doppelte seiner höchsten Frequenzkomponente ist?;Bayer;Shannon-Nyquist;Laplace;Fourier;Keine der genannten Antworten.;2;
Das CIE 1931 XYZ Farbmodell umfasst auch Farben, die der Mensch nicht sehen kann.;Richtig;FALSCH;;;Keine der genannten Antworten.;1;
