Von welchen Grammatiken kann jede kontextsensitive Sprache erzeugt werden?;Von einer regulaeren Grammatik.;Von einer kontextfreien Grammatik.;Von einer monotonen Grammatik.;Von einer kontextsensitiven Grammatik.;Keine der genannten Antworten.;34;
Betrachte Bild 2. Was gilt fuer die Grammatik G?;G ist regulaer.;G ist kontextfrei.;G ist monoton.;G ist kontextsensitiv.;Keine der genannten Antworten.;3;02_til.png
Welche der nachfolgenden Aussagen sind korrekt?;Ist L regulaer, so ist jede Teilmenge von L regulaer.;Ist L endlich, so ist jede Teilmenge von L regulaer.;Ist L die leere Menge, so ist L kontextsensitiv.;Ist L kontextfrei und endlich, so ist L auch regulaer.;Keine der genannten Antworten.;234;
Welche der nachfolgenden Aussagen sind korrekt?;Mit dem Pumping Lemma fuer regulaere Sprachen kann gezeigt werden, dass eine Sprache regulaer ist.;Das Pumping Lemma fuer regulaere Sprachen stellt eine notwendige, aber keine hinreichende Bedingung fuer regulaere Sprachen dar.;Mit dem Satz von Chomsky Schuetzenberger kann gezeigt werden, dass eine Sprache kontextfrei ist.;Mit dem Satz von Chomsky Schuetzenberger kann gezeigt werden, dass eine Sprache nicht kontextfrei ist.;Keine der genannten Antworten.;23;
Was trifft auf Turingmaschinen zu?;Turingmaschinen akzeptieren alle Woerter, die zu einem Endzustand fuehren.;Turingmaschinen koennen Symbole auf ein Band schreiben.;Turingmaschinen halten immer an, wenn ein Wort nicht in der Sprache liegt.;Turingmaschinen halten immer an, wenn ein Wort in der Sprache liegt.;Keine der genannten Antworten.;124;
Wann haelt eine deterministische TM, beim Verarbeiten eines Wortes aus einer rekursiv aufzaehlbaren Sprache, an?;Immer!;Nur, wenn das Wort in der Sprache liegt.;Nur, wenn das Wort nicht in der Sprache liegt.;Nie!;Keine der genannten Antworten.;2;
Betrachte Bild 55. Welche der Antworten sind Variablen, die frei vorkommen?;h;x;y;z;Keine der genannten Antworten.;23;55_til.png
Betrachte Bild 75 und waehle alle korrekten Formalisierungen fuer die Aussage: Leila ist eine Professorin, die alle Studierenden kennt, die sie benotet.;1;2;3;4;Keine der genannten Antworten.;13;75_til.png
Betrachte Bild 76 und waehle alle korrekten Formalisierungen fuer die Aussage: Alle Muetter, aber nicht alle Vaeter, kennen alle ihre Kinder.;1;2;3;4;Keine der genannten Antworten.;1234;76_til.png
Welche der nachfolgenden Aussagen sind korrekt?;Es gibt endlich viele PL-Formeln.;Jedes Problem laesst sich als eine PL-Formel beschreiben.;Wenn F eine gueltige PL-Formel ist, dann gibt es immer einen Tableau-Beweis von F der Groesze f(|F|).;Die Menge der gueltigen PL-Formeln ist eine entscheidbare Sprache.;Keine der genannten Antworten.;5;
